motorchik-elasticsearch-1  | {"@timestamp":"2025-11-11T19:59:59.993Z", "log.level": "INFO", "message":"loaded module [lang-painless]", "ecs.version": "1.2.0","service.name":"ES_ECS","event.dataset":"elasticsearch.server","process.thread.name":"main","log.logger":"org.elasticsearch.plugins.PluginsService","elasticsearch.node.name":"940cdb4273b5","elasticsearch.cluster.name":"docker-cluster"}
motorchik-elasticsearch-1  | {"@timestamp":"2025-11-11T19:59:59.993Z", "log.level": "INFO", "message":"loaded module [x-pack-ml]", "ecs.version": "1.2.0","service.name":"ES_ECS","event.dataset":"elasticsearch.server","process.thread.name":"main","log.logger":"org.elasticsearch.plugins.PluginsService","elasticsearch.node.name":"940cdb4273b5","elasticsearch.cluster.name":"docker-cluster"}
motorchik-elasticsearch-1  | {"@timestamp":"2025-11-11T19:59:59.993Z", "log.level": "INFO", "message":"loaded module [lang-mustache]", "ecs.version": "1.2.0","service.name":"ES_ECS","event.dataset":"elasticsearch.server","process.thread.name":"main","log.logger":"org.elasticsearch.plugins.PluginsService","elasticsearch.node.name":"940cdb4273b5","elasticsearch.cluster.name":"docker-cluster"}
motorchik-elasticsearch-1  | {"@timestamp":"2025-11-11T19:59:59.993Z", "log.level": "INFO", "message":"loaded module [legacy-geo]", "ecs.version": "1.2.0","service.name":"ES_ECS","event.dataset":"elasticsearch.server","process.thread.name":"main","log.logger":"org.elasticsearch.plugins.PluginsService","elasticsearch.node.name":"940cdb4273b5","elasticsearch.cluster.name":"docker-cluster"}
motorchik-elasticsearch-1  | {"@timestamp":"2025-11-11T19:59:59.993Z", "log.level": "INFO", "message":"loaded module [x-pack-ql]", "ecs.version": "1.2.0","service.name":"ES_ECS","event.dataset":"elasticsearch.server","process.thread.name":"main","log.logger":"org.elasticsearch.plugins.PluginsService","elasticsearch.node.name":"940cdb4273b5","elasticsearch.cluster.name":"docker-cluster"}
motorchik-elasticsearch-1  | {"@timestamp":"2025-11-11T19:59:59.993Z", "log.level": "INFO", "message":"loaded module [rank-rrf]", "ecs.version": "1.2.0","service.name":"ES_ECS","event.dataset":"elasticsearch.server","process.thread.name":"main","log.logger":"org.elasticsearch.plugins.PluginsService","elasticsearch.node.name":"940cdb4273b5","elasticsearch.cluster.name":"docker-cluster"}
motorchik-elasticsearch-1  | {"@timestamp":"2025-11-11T19:59:59.993Z", "log.level": "INFO", "message":"loaded module [analysis-common]", "ecs.version": "1.2.0","service.name":"ES_ECS","event.dataset":"elasticsearch.server","process.thread.name":"main","log.logger":"org.elasticsearch.plugins.PluginsService","elasticsearch.node.name":"940cdb4273b5","elasticsearch.cluster.name":"docker-cluster"}
motorchik-elasticsearch-1  | {"@timestamp":"2025-11-11T19:59:59.993Z", "log.level": "INFO", "message":"loaded module [transport-netty4]", "ecs.version": "1.2.0","service.name":"ES_ECS","event.dataset":"elasticsearch.server","process.thread.name":"main","log.logger":"org.elasticsearch.plugins.PluginsService","elasticsearch.node.name":"940cdb4273b5","elasticsearch.cluster.name":"docker-cluster"}
motorchik-elasticsearch-1  | {"@timestamp":"2025-11-11T19:59:59.993Z", "log.level": "INFO", "message":"loaded module [aggregations]", "ecs.version": "1.2.0","service.name":"ES_ECS","event.dataset":"elasticsearch.server","process.thread.name":"main","log.logger":"org.elasticsearch.plugins.PluginsService","elasticsearch.node.name":"940cdb4273b5","elasticsearch.cluster.name":"docker-cluster"}
motorchik-elasticsearch-1  | {"@timestamp":"2025-11-11T19:59:59.993Z", "log.level": "INFO", "message":"loaded module [ingest-common]", "ecs.version": "1.2.0","service.name":"ES_ECS","event.dataset":"elasticsearch.server","process.thread.name":"main","log.logger":"org.elasticsearch.plugins.PluginsService","elasticsearch.node.name":"940cdb4273b5","elasticsearch.cluster.name":"docker-cluster"}
motorchik-elasticsearch-1  | {"@timestamp":"2025-11-11T19:59:59.994Z", "log.level": "INFO", "message":"loaded module [x-pack-identity-provider]", "ecs.version": "1.2.0","service.name":"ES_ECS","event.dataset":"elasticsearch.server","process.thread.name":"main","log.logger":"org.elasticsearch.plugins.PluginsService","elasticsearch.node.name":"940cdb4273b5","elasticsearch.cluster.name":"docker-cluster"}
